event_name,event_date,fighter1,fighter1_best,fighter1_avg,fighter2,fighter2_best,fighter2_avg
UFC,,Caio Machado,4.2,4.2,Mick Parkin,1.247,1.247
UFC,,Jeka Saragih,5.1,5.1,Lucas Alexander,1.182,1.182
UFC,,Ailin Perez,1.526,1.526,Lucie Pudilova,2.6,2.6
UFC,,Nikolas Motta,1.758,1.758,Trey Ogden,2.12,2.12
UFC,,Charles Johnson,2.28,2.28,Rafael Estevam,1.633,1.633
UFC,,Jimmy Flick,2.68,2.68,Malcolm Gordon,1.5,1.5
UFC,,Johnny Walker,5.1,5.1,Magomed Ankalaev,1.182,1.182
UFC,,Gabriel Benitez,2.26,2.26,Jim Miller,1.676,1.676
UFC,,Mario Bautista,2.54,2.54,Ricky Simon,1.543,1.543
UFC,,Manel Kape,,,Matheus Nicolau,,
UFC,,Brunno Ferreira,1.725,1.725,Phil Hawes,2.18,2.18
UFC,,Andrei Arlovski,5.9,5.9,Waldo Cortes-Acosta,1.149,1.149
UFC,,Matthew Semelsberger,1.98,1.98,Preston Parsons,1.862,1.862
UFC,,Gaston Bolanos,3.15,3.15,Marcus McGhee,1.385,1.385
UFC,,Ketlen Vieira,,,Macy Chiasson,,
UFC,,Farid Basharat,1.345,1.345,Taylor Lapilus,3.35,3.35
UFC,,Jean Silva,1.105,1.105,Westin Wilson,7.4,7.4
UFC,,Nikolas Motta,4.0,4.0,Tom Nolan,1.233,1.233
UFC,,Felipe Bunes,3.15,3.15,Joshua van,1.385,1.385
UFC,,Anthony Smith,2.8,2.8,Khalil Rountree,1.465,1.465
UFC,,Chris Gutierrez,4.0,4.0,Song Yadong,1.267,1.267
UFC,,Jamie Mullarkey,2.64,2.64,Nasrat Haqparast,1.51,1.51
UFC,,Su Mudaerji,2.3,2.3,Tim Elliott,1.649,1.649
UFC,,Andre Muniz,2.58,2.58,Jun Yong Park,1.532,1.532
UFC,,Kenan Song,2.28,2.28,Kevin Jousset,1.658,1.658
UFC,,Park Hyun-Sung,1.161,1.161,Shannon Ross,5.6,5.6
UFC,,Melquizael Costa,1.435,1.435,Steve Garcia,2.9,2.9
UFC,,Luana Santos,1.658,1.658,Stephanie Egger,2.28,2.28
UFC,,Carlos Hernandez,5.2,5.2,Tatsuro Taira,1.179,1.179
UFC,,Rayanne Dos Santos,1.633,1.633,Talita Alencar,2.34,2.34
UFC,,Andrea Lee,2.68,2.68,Miranda Maverick,1.5,1.5
UFC,,Asu Almabaev,1.179,1.179,Cj Vergara,5.2,5.2
UFC,,Joanne Wood,2.84,2.84,Maryna Moroz,1.455,1.455
UFC,,Jalin Turner,1.385,1.385,Renato Moicano,3.15,3.15
UFC,,Jessica Andrade,1.658,1.658,Marina Rodriguez,2.28,2.28
UFC,,Bobby Green,1.526,1.526,Jim Miller,2.6,2.6
UFC,,Cody Garbrandt,3.8,3.8,Deiveson Figueiredo,1.286,1.286
UFC,,Gillian Robertson,1.526,1.526,Michelle Waterson-Gomez,2.6,2.6
UFC,,Andrei Arlovski,3.2,3.2,Martin Buday,1.37,1.37
UFC,,Carlos Hernandez,4.15,4.15,Rei Tsuruya,1.25,1.25
UFC,,Ricky Simon,1.392,1.392,Vinicius Oliveira,3.1,3.1
UFC,,Conor McGregor,,,Michael Chandler,,
UFC,,Anthony Smith,,,Carlos Ulberg,,
UFC,,Raul Rosas Jr,1.392,1.392,Ricky Turcios,3.1,3.1
UFC,,Brandon Moreno,1.312,1.312,Brandon Royval,3.6,3.6
UFC,,Brian Ortega,2.46,2.46,Yair Rodriguez,1.575,1.575
UFC,,Daniel Zellhuber,1.339,1.339,Francisco Prado,3.4,3.4
UFC,,Sam Hughes,6.4,6.4,Yazmin Jauregui,1.13,1.13
UFC,,Chris Duncan,2.54,2.54,Manuel Torres,1.5,1.5
UFC,,Christian Quinonez,2.38,2.38,Raoni Barcelos,1.61,1.61
UFC,,Jesus Santos Aguilar,2.08,2.08,Mateus Mendonca,1.769,1.769
UFC,,Daniel da Silva,,,Edgar Chairez,,
UFC,,Daniel Lacerda,4.85,4.85,Edgar Chairez,1.2,1.2
UFC,,Claudio Puelles,2.8,2.8,Fares Ziam,1.465,1.465
UFC,,Denys Bondar,2.0,2.0,Luis Rodriguez,1.847,1.847
UFC,,Felipe Dos Santos,1.339,1.339,Victor Altamirano,3.4,3.4
UFC,,Erik Silva,5.2,5.2,Muhammad Naimov,1.179,1.179
UFC,,Bolaji Oki,1.581,1.581,Timothy Cuamba,2.44,2.44
UFC,,Bruna Brasil,3.35,3.35,Loma Lookboonmee,1.345,1.345
UFC,,Devin Clark,1.465,1.465,Marcin Prachnio,2.8,2.8
UFC,,Jeremiah Wells,1.61,1.61,Max Griffin,2.38,2.38
UFC,,Bogdan Guskov,2.16,2.16,Zac Pauga,1.735,1.735
UFC,,Fernie Garcia,3.05,3.05,Hyder Amil,1.4,1.4
UFC,,Daniel Marcos,,,Qileng Aori,,
UFC,,Aori Qileng,3.35,3.35,Daniel Marcos,1.345,1.345
UFC,,Jared Cannonier,2.08,2.08,Nassourdine Imavov,1.769,1.769
UFC,,Dominick Reyes,3.0,3.0,Dustin Jacoby,1.408,1.408
UFC,,Raul Rosas Jr,1.333,1.333,Ricky Turcios,3.45,3.45
UFC,,Brunno Ferreira,1.37,1.37,Dustin Stoltzfus,3.2,3.2
UFC,,Julian Marquez,1.704,1.704,Zachary Reese,2.2,2.2
UFC,,Miguel Baeza,1.5,1.5,Punahele Soriano,2.68,2.68
UFC,,Erin Blanchfield,1.51,1.51,Manon Fiorot,2.64,2.64
UFC,,Joaquin Buckley,2.08,2.08,Vicente Luque,1.794,1.794
UFC,,Bruno Silva,1.505,1.505,Chris Weidman,2.66,2.66
UFC,,Nursulton Ruziboev,1.455,1.455,Sedriques Dumas,2.84,2.84
UFC,,Bill Algeo,1.385,1.385,Kyle Nelson,3.15,3.15
UFC,,Chidi Njokuani,1.694,1.694,Rhys McKee,2.22,2.22
UFC,,Jamall Emmers,1.532,1.532,Nate Landwehr,2.58,2.58
UFC,,Lupita Godinez,1.465,1.465,Virna Jandiroba,2.8,2.8
UFC,,Herbert Burns,3.95,3.95,Julio Arce,1.27,1.27
UFC,,Connor Matthews,2.0,2.0,Dennis Buzukja,1.847,1.847
UFC,,Anton Turkalj,2.06,2.06,Ibo Aslan,1.806,1.806
UFC,,Melissa Gatto,1.641,1.641,Victoria Dudakova,2.32,2.32
UFC,,Amanda Ribas,2.76,2.76,Rose Namajunas,1.476,1.476
UFC,,Justin Tafa,2.52,2.52,Karl Williams,1.556,1.556
UFC,,Aj Dobson,2.64,2.64,Edmen Shahbazyan,1.51,1.51
UFC,,Cameron Saaiman,2.3,2.3,Payton Talbott,1.649,1.649
UFC,,Billy Quartantillo,2.08,2.08,Youssef Zalal,1.794,1.794
UFC,,Fernando Padilla,1.562,1.562,Luis Pajuelo,2.5,2.5
UFC,,Kurt Holobaugh,2.1,2.1,Trey Ogden,1.769,1.769
UFC,,Julian Erosa,2.48,2.48,Ricardo Ramos,1.568,1.568
UFC,,Cody Gibson,2.16,2.16,Miles Johns,1.735,1.735
UFC,,Jarno Errens,2.36,2.36,Steven Nguyen,1.617,1.617
UFC,,Darya Zheleznyakova,1.417,1.417,Montserrat Rendon,2.98,2.98
UFC,,Macy Chiasson,1.4,1.4,Pannie Kianzad,3.05,3.05
UFC,,Bryan Barberena,3.05,3.05,Gerald Meerschaert,1.4,1.4
UFC,,Mike Davis,1.204,1.204,Natan Levy,4.8,4.8
UFC,,Chelsea Chandler,2.24,2.24,Josiane Nunes,1.633,1.633
UFC,,Jafel Filho,1.562,1.562,Ode Osbourne,2.5,2.5
UFC,,Danny Silva,2.8,2.8,Josh Culibao,1.465,1.465
UFC,,Cory McKenna,1.658,1.658,Jaqueline Amorim,2.28,2.28
UFC,,Mitch Ramirez,3.8,3.8,Thiago Moises,1.286,1.286
UFC,,Chad Anheliger,2.52,2.52,Charalampos Grigoriou,1.556,1.556
UFC,,Jairzinho Rozenstruik,2.6,2.6,Shamil Gaziev,1.526,1.526
UFC,,Joel Alvarez,,,Ludovit Klein,,
UFC,,Brendon Marotte,,,Mohammad Yahya,,
UFC,,Vinicius Oliveira,,,Yanis Ghemmouri,,
UFC,,Tyson Pedro,4.1,4.1,Vitor Petrino,1.256,1.256
UFC,,Alex Perez,3.95,3.95,Muhammad Mokaev,1.27,1.27
UFC,,Bekzat Almakhan,8.5,8.5,Umar Nurmagomedov,1.083,1.083
UFC,,Matt Schnell,4.5,4.5,Steve Erceg,1.222,1.222
UFC,,Bernardo Sopai,2.14,2.14,Vinicius Oliveira,1.746,1.746
UFC,,Eryk Anders,1.182,1.182,Jamie Pickett,5.1,5.1
UFC,,Aiemann Zahabi,6.7,6.7,Javid Basharat,1.122,1.122
UFC,,Christian Leroy Duncan,1.278,1.278,Claudio Ribeiro,3.9,3.9
UFC,,Aj Cunningham,8.5,8.5,Ludovit Klein,1.083,1.083
UFC,,Abdul-Kareem Al-Selwady,1.676,1.676,Loik Radzhabov,2.26,2.26
UFC,,Jack Hermansson,3.0,3.0,Joe Pyfer,1.408,1.408
UFC,,Andre Fili,2.54,2.54,Dan Ige,1.543,1.543
UFC,,Ihor Potieria,2.66,2.66,Robert Bryczek,1.505,1.505
UFC,,Brad Tavares,3.0,3.0,Gregory Rodrigues,1.408,1.408
UFC,,Darrius Flowers,2.3,2.3,Michael Johnson,1.649,1.649
UFC,,Armen Petrosyan,1.862,1.862,Rodolfo Vieira,1.98,1.98
UFC,,Carlos Prates,1.408,1.408,Trevin Giles,3.0,3.0
UFC,,Andre Lima,1.61,1.61,Igor da Silva,2.38,2.38
UFC,,Andre Lima,,,Igor Severino,,
UFC,,Mick Parkin,1.746,1.746,Mohammed Usman,2.14,2.14
UFC,,Marcin Tybura,1.98,1.98,Tai Tuivasa,1.862,1.862
UFC,,Ange Loosa,2.72,2.72,Bryan Battle,1.488,1.488
UFC,,Kennedy Nzechukwu,1.139,1.139,Ovince St. Preux,6.2,6.2
UFC,,Christian Rodriguez,2.8,2.8,Isaac Dulgarian,1.465,1.465
UFC,,Andre Petroski,3.0,3.0,Jacob Malkoun,1.408,1.408
UFC,,Angel Pacheco,4.7,4.7,Caolan Loughran,1.208,1.208
UFC,,Brendan Allen,1.465,1.465,Chris Curtis,2.8,2.8
UFC,,Alexander Hernandez,1.51,1.51,Damon Jackson,2.64,2.64
UFC,,Chepe Mariscal,2.26,2.26,Morgan Charriere,1.676,1.676
UFC,,Christos Giagos,3.7,3.7,Ignacio Bahamondes,1.299,1.299
UFC,,Charlie Campbell,1.581,1.581,Trevor Peek,2.44,2.44
UFC,,Alex Morono,1.286,1.286,Court McGee,3.8,3.8
UFC,,Lukasz Brzeski,2.88,2.88,Valter Walker,1.444,1.444
UFC,,Germaine de Randamie,2.02,2.02,Norma Dumont,1.833,1.833
UFC,,Pedro Falcao,2.2,2.2,Victor Hugo,1.704,1.704
UFC,,Dan Argueta,2.42,2.42,Jean Matsumoto,1.595,1.595
UFC,,Cesar Almeida,2.24,2.24,Dylan Budka,1.685,1.685
UFC,,Melissa Dixon,,,Nora Cornolle,,
UFC,,Melissa Mullins,1.256,1.256,Nora Cornolle,4.1,4.1
UFC,,Jamie Mullarkey,3.05,3.05,Mauricio Ruffy,1.4,1.4
UFC,,Dione Barbosa,1.426,1.426,Ernesta Kareckaite,2.94,2.94
UFC,,Ismael Bonfim,1.179,1.179,Vinc Pichel,5.2,5.2
UFC,,Alessandro Costa,1.769,1.769,Kevin Borjas,2.08,2.08
UFC,,Alex Caceres,3.05,3.05,Sean Woodson,1.4,1.4
UFC,,Robelis Despaigne,1.417,1.417,Waldo Cortes-Acosta,2.98,2.98
UFC,,Chase Hooper,2.0,2.0,Viacheslav Borshchev,1.781,1.781
UFC,,Esteban Ribovics,1.649,1.649,Terrance McKinney,2.3,2.3
UFC,,Jared Gooden,,,Kevin Jousset,,
UFC,,Tabatha Ricci,1.658,1.658,Tecia Pennington,2.28,2.28
UFC,,Tabatha Ricci,,,Tecia Torres,,
UFC,,Billy Goff,2.36,2.36,Trey Waters,1.617,1.617
UFC,,Charles Johnson,1.82,1.82,Jake Hadley,1.962,1.962
UFC,,Jj Aldrich,2.0,2.0,Veronica Hardy,1.847,1.847
UFC,,David Onama,2.34,2.34,Jonathan Pearce,1.633,1.633
UFC,,Tim Means,3.2,3.2,Uros Medic,1.37,1.37
UFC,,Rani Yahya,4.2,4.2,Victor Henry,1.247,1.247
UFC,,Austin Hubbard,2.6,2.6,Michal Figlak,1.526,1.526
UFC,,Caio Machado,1.746,1.746,Don'tale Mayes,2.14,2.14
UFC,,Ketlen Souza,1.278,1.278,Marnic Mann,3.9,3.9
UFC,,Chris Padilla,4.3,4.3,James Llontop,1.238,1.238
UFC,,Ivana Petrovic,1.217,1.217,Na Liang,4.6,4.6
UFC,,Gabriel Benitez,3.0,3.0,Maheshate,1.408,1.408
UFC,,Alex Perez,2.46,2.46,Matheus Nicolau,1.532,1.532
UFC,,Bogdan Guskov,2.5,2.5,Ryan Spann,1.562,1.562
UFC,,Ariane Lipski,2.5,2.5,Karine Silva,1.562,1.562
UFC,,Austen Lane,3.65,3.65,Jhonata Diniz,1.303,1.303
UFC,,Dustin Poirier,4.5,4.5,Islam Makhachev,1.222,1.222
UFC,,Paulo Costa,3.0,3.0,Sean Strickland,1.408,1.408
UFC,,Kevin Holland,1.323,1.323,Michal Oleksiejczuk,3.5,3.5
UFC,,Alex Morono,1.364,1.364,Niko Price,3.25,3.25
UFC,,Elizeu Zaleski Dos Santos,2.48,2.48,Randy Brown,1.568,1.568
UFC,,Cesar Almeida,1.926,1.926,Roman Kopylov,1.926,1.926
UFC,,Alexandr Romanov,4.1,4.1,Jailton Almeida,1.256,1.256
UFC,,Grant Dawson,1.196,1.196,Joe Solecki,4.9,4.9
UFC,,Jake Matthews,1.575,1.575,Phil Rowe,2.46,2.46
UFC,,Bassil Hafez,1.222,1.222,Mickey Gall,4.5,4.5
UFC,,Ailin Perez,1.465,1.465,Joselyne Edwards,2.8,2.8
UFC,,Andre Lima,1.303,1.303,Mitch Raposo,3.65,3.65
UFC,,Alexandre Pantoja,1.543,1.543,Steve Erceg,2.54,2.54
UFC,,Jonathan Martinez,1.602,1.602,Jose Aldo,2.4,2.4
UFC,,Anthony Smith,4.1,4.1,Vitor Petrino,1.256,1.256
UFC,,Ihor Potieria,4.5,4.5,Michel Pereira,1.192,1.192
UFC,,Caio Borralho,1.196,1.196,Paul Craig,4.9,4.9
UFC,,Jack Shore,2.76,2.76,Joanderson Brito,1.476,1.476
UFC,,Iasmin Lucindo,1.278,1.278,Karolina Kowalkiewicz,3.9,3.9
UFC,,Elves Brener,3.05,3.05,Myktybek Orolbai,1.408,1.408
UFC,,Drakkar Klose,1.488,1.488,Joaquim Silva,2.72,2.72
UFC,,Ikram Aliskerov,2.0,2.0,Robert Whittaker,1.847,1.847
UFC,,Alexander Volkov,2.9,2.9,Sergei Pavlovich,1.435,1.435
UFC,,Daniel Rodriguez,2.64,2.64,Kelvin Gastelum,1.51,1.51
UFC,,Antonio Trocoli,5.6,5.6,Shara Magomedov,1.161,1.161
UFC,,Johnny Walker,1.704,1.704,Volkan Oezdemir,2.2,2.2
UFC,,Jared Gordon,3.05,3.05,Nasrat Haqparast,1.4,1.4
UFC,,Felipe Lima,2.2,2.2,Muhammadjon Naimov,1.704,1.704
UFC,,Nicolas Dalby,4.0,4.0,Rinat Fakhretdinov,1.267,1.267
UFC,,Kyung Ho Kang,2.4,2.4,Muin Gafurov,1.602,1.602
UFC,,Brendson Ribeiro,4.1,4.1,Magomed Gadzhiyasulov,1.256,1.256
UFC,,Chang Ho Lee,2.08,2.08,Long Xiao,1.769,1.769
UFC,,Melsik Baghdasaryan,,,Muhammad Naimov,,
UFC,,Abu Azaitar,,,Denis Tiuliulin,,
UFC,,Farid Basharat,,,Montel Jackson,,
UFC,,Khamzat Chimaev,1.385,1.385,Robert Whittaker,2.96,2.96
UFC,,Derrick Lewis,1.617,1.617,Rodrigo Nascimento,2.36,2.36
UFC,,Joaquin Buckley,1.704,1.704,Nursulton Ruziboev,2.2,2.2
UFC,,Alonzo Menifield,3.25,3.25,Carlos Ulberg,1.364,1.364
UFC,,Diego Ferreira,4.2,4.2,Mateusz Rebecki,1.247,1.247
UFC,,Adrian Yanez,1.217,1.217,Vinicius Salvador,4.6,4.6
UFC,,Angela Hill,1.704,1.704,Luana Pinheiro,2.2,2.2
UFC,,Tom Nolan,1.204,1.204,Victor Martinez,4.8,4.8
UFC,,Oumar Sy,1.179,1.179,Tuco Tokkos,5.2,5.2
UFC,,Melissa Gatto,1.286,1.286,Tamires Vidal,3.8,3.8
UFC,,Antonio Trocoli,,,Oumar Sy,,
UFC,,Abus Magomedov,1.345,1.345,Warlley Alves,3.35,3.35
UFC,,Ariane Carnelossi,2.84,2.84,Piera Rodriguez,1.455,1.455
UFC,,Heili Alateng,2.3,2.3,Kleydson Rodrigues,1.649,1.649
UFC,,Emily Ducote,1.256,1.256,Vanessa Demopoulos,4.1,4.1
UFC,,Belal Muhammad,2.98,2.98,Leon Edwards,1.385,1.385
UFC,,Curtis Blaydes,4.0,4.0,Tom Aspinall,1.233,1.233
UFC,,Bobby Green,2.1,2.1,Paddy Pimblett,1.769,1.769
UFC,,Christian Leroy Duncan,1.82,1.82,Gregory Rodrigues,2.04,2.04
UFC,,Arnold Allen,1.345,1.345,Giga Chikadze,3.35,3.35
UFC,,Daniel Pineda,4.15,4.15,Nathaniel Wood,1.25,1.25
UFC,,Bruna Brasil,3.7,3.7,Molly McCann,1.299,1.299
UFC,,Caolan Loughran,1.408,1.408,Jake Hadley,2.86,2.86
UFC,,Manel Kape,2.72,2.72,Muhammad Mokaev,1.488,1.488
UFC,,Alex Perez,2.9,2.9,Tatsuro Taira,1.435,1.435
UFC,,Douglas Silva de Andrade,2.46,2.46,Miles Johns,1.575,1.575
UFC,,Lucas Almeida,2.64,2.64,Timothy Cuamba,1.51,1.51
UFC,,Brady Hiestand,3.15,3.15,Garrett Armfield,1.385,1.385
UFC,,Asu Almabaev,1.222,1.222,Jose Johnson,4.5,4.5
UFC,,Adam Fugitt,2.22,2.22,Josh Quinlan,1.694,1.694
UFC,,Jimmy Flick,5.9,5.9,Nate Maness,1.149,1.149
UFC,,Carli Judice,2.4,2.4,Gabriella Fernandes,1.602,1.602
UFC,,Jeka Saragih,1.286,1.286,Westin Wilson,3.8,3.8
UFC,,Melquizael Costa,1.465,1.465,Shayilan Nuerdanbieke,2.8,2.8
UFC,,Josefine Knutsson,1.444,1.444,Julia Polastri,2.88,2.88
UFC,,Cory Sandhagen,3.75,3.75,Umar Nurmagomedov,1.294,1.294
UFC,,Michal Oleksiejczuk,3.2,3.2,Sharabutdin Magomedov,1.37,1.37
UFC,,Deiveson Figueiredo,1.735,1.735,Marlon Vera,2.16,2.16
UFC,,Michael Chiesa,1.192,1.192,Tony Ferguson,5.0,5.0
UFC,,Loopy Godinez,2.2,2.2,Mackenzie Dern,1.704,1.704
UFC,,Elves Brener,2.32,2.32,Joel Alvarez,1.641,1.641
UFC,,Alonzo Menifield,2.98,2.98,Azamat Murzakanov,1.417,1.417
UFC,,Kaue Fernandes,1.27,1.27,Mohammad Yahya,3.95,3.95
UFC,,Don'tale Mayes,3.4,3.4,Shamil Gaziev,1.339,1.339
UFC,,Guram Kutateladze,1.435,1.435,Jordan Vucenic,2.9,2.9
UFC,,Sam Hughes,2.48,2.48,Victoria Dudakova,1.568,1.568
UFC,,Jai Herbert,1.847,1.847,Rolando Bedoya,2.0,2.0
UFC,,Denis Tiuliulin,2.94,2.94,Sedriques Dumas,1.426,1.426
UFC,,Abdul-Kareem Al-Selwady,,,Guram Kutateladze,,
UFC,,Andre Petroski,1.847,1.847,Josh Fremd,2.0,2.0
UFC,,Darrius Flowers,5.6,5.6,Evan Elder,1.161,1.161
UFC,,Jasmine Jasudavicius,,,Viviane Araujo,,
UFC,,Dricus Du Plessis,1.833,1.833,Israel Adesanya,2.02,2.02
UFC,,Kai Kara-France,3.35,3.35,Steve Erceg,1.345,1.345
UFC,,Dan Hooker,4.1,4.1,Mateusz Gamrot,1.256,1.256
UFC,,Jairzinho Rozenstruik,1.426,1.426,Tai Tuivasa,2.94,2.94
UFC,,Carlos Prates,1.256,1.256,Li Jingliang,4.1,4.1
UFC,,Junior Tafa,1.909,1.909,Valter Walker,1.943,1.943
UFC,,Josh Culibao,1.833,1.833,Ricardo Ramos,2.02,2.02
UFC,,Casey O'Neill,2.16,2.16,Luana Santos,1.735,1.735
UFC,,Herbert Burns,5.8,5.8,Jack Jenkins,1.154,1.154
UFC,,Gilbert Burns,2.6,2.6,Sean Brady,1.526,1.526
UFC,,Jessica Andrade,3.4,3.4,Natalia Silva,1.339,1.339
UFC,,Kyle Nelson,2.88,2.88,Steve Garcia,1.444,1.444
UFC,,Merab Dvalishvili,1.962,1.962,Sean O'Malley,1.893,1.893
UFC,,Alexa Grasso,1.794,1.794,Valentina Shevchenko,2.08,2.08
UFC,,Brian Ortega,2.8,2.8,Diego Lopes,1.465,1.465
UFC,,Daniel Zellhuber,1.526,1.526,Esteban Ribovics,2.6,2.6
UFC,,Ode Osbourne,2.9,2.9,Ronaldo Rodriguez,1.435,1.435
UFC,,Irene Aldana,2.1,2.1,Norma Dumont,1.769,1.769
UFC,,Ignacio Bahamondes,2.16,2.16,Manuel Torres,1.735,1.735
UFC,,Ketlen Souza,5.0,5.0,Yazmin Jauregui,1.192,1.192
UFC,,Edgar Chairez,3.35,3.35,Joshua van,1.345,1.345
UFC,,Oban Elliott,2.44,2.44,Preston Parsons,1.538,1.538
UFC,,Marcin Prachnio,2.32,2.32,Modestas Bukauskas,1.641,1.641
UFC,,Kiefer Crosbie,4.85,4.85,Sam Patterson,1.2,1.2
UFC,,Lukasz Brzeski,4.6,4.6,Mick Parkin,1.217,1.217
UFC,,Alice Ardelean,2.64,2.64,Shauna Bannon,1.51,1.51
UFC,,Caolan Loughran,,,Ramon Taveras,,
UFC,,Chelsea Chandler,2.32,2.32,Yana Santos,1.641,1.641
UFC,,Charalampos Grigoriou,1.408,1.408,Toshiomi Kazama,3.0,3.0
UFC,,Karol Rosa,1.37,1.37,Pannie Kianzad,3.2,3.2
UFC,,Jhonata Diniz,2.52,2.52,Karl Williams,1.556,1.556
UFC,,Allan Nascimento,,,Jafel Filho,,
UFC,,Jonny Parsons,,,Yusaku Kinoshita,,
UFC,,Jarno Errens,5.3,5.3,Youssef Zalal,1.169,1.169
UFC,,Stephanie Luciano,1.602,1.602,Talita Alencar,2.4,2.4
UFC,,Chris Gutierrez,,,Javid Basharat,,
UFC,,Marcin Tybura,2.24,2.24,Sergey Spivak,1.685,1.685
UFC,,Chepe Mariscal,1.556,1.556,Damon Jackson,2.52,2.52
UFC,,Damon Jackson,,,Jose Mariscal,,
UFC,,Danny Barlow,1.247,1.247,Nikolay Veretennikov,4.2,4.2
UFC,,Chris Gutierrez,1.167,1.167,Quang Le,5.5,5.5
UFC,,Alex Reyes,9.1,9.1,Tom Nolan,1.074,1.074
UFC,,Kenan Song,1.377,1.377,Ricky Glenn,3.0,3.0
UFC,,Jesus Aguilar,2.66,2.66,Stewart Nicoll,1.505,1.505
UFC,,Ilia Topuria,1.345,1.345,Max Holloway,3.35,3.35
UFC,,Khamzat Chimaev,1.444,1.444,Robert Whittaker,2.88,2.88
UFC,,Aleksandar Rakir,3.8,3.8,Magomed Ankalaev,1.286,1.286
UFC,,Dan Ige,3.6,3.6,Lerone Murphy,1.312,1.312
UFC,,Armen Petrosyan,2.52,2.52,Shara Magomedov,1.556,1.556
UFC,,Ibo Aslan,2.0,2.0,Raffael Cerqueira,1.847,1.847
UFC,,Geoff Neal,1.385,1.385,Rafael Dos Anjos,3.15,3.15
UFC,,Mateusz Rebecki,3.15,3.15,Myktybek Orolbai,1.385,1.385
UFC,,Abus Magomedov,1.649,1.649,Brunno Ferreira,2.3,2.3
UFC,,Chris Barnett,6.3,6.3,Kennedy Nzechukwu,1.133,1.133
UFC,,Farid Basharat,1.139,1.139,Victor Hugo,6.3,6.3
UFC,,Bruno Silva,2.42,2.42,Ismail Naurdiev,1.595,1.595
UFC,,Carlos Leal Miranda,2.8,2.8,Rinat Fakhretdinov,1.465,1.465
UFC,,Junior Tafa,,,Kennedy Nzechukwu,,
UFC,,Daniel Santos,,,Said Nurmagomedov,,
UFC,,Nathan Fletcher,1.704,1.704,Zygimantas Ramaska,2.2,2.2
UFC,,Cong Wang,,,Victoria Leonardo,,
UFC,,Victoria Leonardo,7.6,7.6,Wang Cong,1.1,1.1
UFC,,Danny Silva,,,Dennis Buzukja,,
UFC,,Cody Durden,1.357,1.357,Matt Schnell,3.25,3.25
UFC,,Trevor Peek,1.909,1.909,Yanal Ashmouz,1.943,1.943
UFC,,Chris Padilla,3.0,3.0,Rong Zhu,1.408,1.408
UFC,,Brendon Marotte,14.0,14.0,Isaac Dulgarian,1.033,1.033
UFC,,Ovince St. Preux,,,Ryan Spann,,
UFC,,Andre Lima,1.61,1.61,Felipe Dos Santos,2.38,2.38
UFC,,Gabriel Santos,1.345,1.345,Yizha,3.35,3.35
UFC,,Gabriel Santos,,,Zha Yi,,
UFC,,Jaqueline Amorim,1.333,1.333,Vanessa Demopoulos,3.45,3.45
UFC,,Andre Petroski,1.333,1.333,Dylan Budka,3.45,3.45
UFC,,Nathan Fletcher,1.758,1.758,Zygimantas Ramaska,2.12,2.12
UFC,,Benoit Saint-Denis,1.37,1.37,Renato Moicano,3.2,3.2
UFC,,Brendan Allen,2.68,2.68,Nassourdine Imavov,1.5,1.5
UFC,,Joanderson Brito,1.333,1.333,William Gomis,3.45,3.45
UFC,,Bryan Battle,1.595,1.595,Kevin Jousset,2.42,2.42
UFC,,Gabriel Miranda,5.6,5.6,Morgan Charriere,1.161,1.161
UFC,,Fares Ziam,1.806,1.806,Matt Frevola,2.06,2.06
UFC,,Ion Cutelaba,1.98,1.98,Ivan Erslan,1.862,1.862
UFC,,Da Un Jung,,,Oumar Sy,,
UFC,,Da Woon Jung,5.4,5.4,Oumar Sy,1.169,1.169
UFC,,Ludovit Klein,1.1,1.1,Roosevelt Roberts,7.6,7.6
UFC,,Taylor Lapilus,1.299,1.299,Vince Morales,3.7,3.7
UFC,,Ailin Perez,1.465,1.465,Darya Zheleznyakova,2.8,2.8
UFC,,Daniel Barez,2.06,2.06,Victor Altamirano,1.806,1.806
UFC,,Jacqueline Cavalcanti,1.476,1.476,Nora Cornolle,2.76,2.76
UFC,,Bolaji Oki,1.595,1.595,Chris Duncan,2.42,2.42
UFC,,Alex Pereira,1.217,1.217,Khalil Rountree Jr.,4.6,4.6
UFC,,Julianna Pena,2.26,2.26,Raquel Pennington,1.676,1.676
UFC,,Jose Aldo,2.1,2.1,Mario Bautista,1.769,1.769
UFC,,Kevin Holland,1.676,1.676,Roman Dolidze,2.26,2.26
UFC,,Kayla Harrison,1.091,1.091,Ketlen Vieira,8.0,8.0
UFC,,Joaquin Buckley,1.444,1.444,Stephen Thompson,2.88,2.88
UFC,,Iasmin Lucindo,1.556,1.556,Marina Rodriguez,2.52,2.52
UFC,,Alexander Hernandez,1.926,1.926,Austin Hubbard,1.926,1.926
UFC,,Cesar Almeida,1.222,1.222,Ihor Potieria,4.5,4.5
UFC,,Caio Borralho,1.37,1.37,Jared Cannonier,3.2,3.2
UFC,,Angela Hill,2.5,2.5,Tabatha Ricci,1.562,1.562
UFC,,Robert Valentin,1.694,1.694,Ryan Loder,2.24,2.24
UFC,,Kaan Ofli,2.76,2.76,Mairon Santos,1.476,1.476
UFC,,Michael Morales,1.118,1.118,Neil Magny,6.9,6.9
