fighter_url,elo_rating,peak_elo,fights_processed,elo_source
http://www.ufcstats.com/fighter-details/d3b5ad3b15a64a18,1468.8,1468.8,1,ufc_fights
http://www.ufcstats.com/fighter-details/6a0b80a24f22e152,1469.09,1469.09,1,ufc_fights
http://www.ufcstats.com/fighter-details/30cd319d39ee689b,1465.13,1465.13,1,ufc_fights
http://www.ufcstats.com/fighter-details/df85d6ec3493d120,1503.43,1503.43,2,ufc_fights
http://www.ufcstats.com/fighter-details/271fe91f4ba9d2c5,1490.45,1684.23,17,ufc_fights
http://www.ufcstats.com/fighter-details/ea398c802d9998ee,1468.8,1468.8,1,ufc_fights
http://www.ufcstats.com/fighter-details/93892752c5fc23ca,1550.23,1594.89,7,ufc_fights
http://www.ufcstats.com/fighter-details/977081bc01197656,1516.47,1554.78,5,ufc_fights
http://www.ufcstats.com/fighter-details/0e9869d712e81f8f,1493.93,1526.35,4,ufc_fights
http://www.ufcstats.com/fighter-details/fbbde91f7bc2d3c5,1483.74,1565.9,29,ufc_fights
http://www.ufcstats.com/fighter-details/440c9dbab63528fb,1468.8,1468.8,1,ufc_fights
http://www.ufcstats.com/fighter-details/f62850b3c7480db9,1465.69,1465.69,1,ufc_fights
http://www.ufcstats.com/fighter-details/c1684f00c626f4c0,1536.32,1536.32,1,ufc_fights
http://www.ufcstats.com/fighter-details/2a6f8136da1e52c0,1508.17,1508.17,2,ufc_fights
http://www.ufcstats.com/fighter-details/13e62d766b709aa6,1529.41,1531.2,3,ufc_fights
http://www.ufcstats.com/fighter-details/2efbc83a6b9b7f86,1505.01,1505.01,2,ufc_fights
http://www.ufcstats.com/fighter-details/7a359ef685a304a7,1510.24,1510.24,2,ufc_fights
http://www.ufcstats.com/fighter-details/08a7080ff5904661,1531.2,1531.2,1,ufc_fights
http://www.ufcstats.com/fighter-details/8738eacd62e82a32,1468.8,1468.8,1,ufc_fights
http://www.ufcstats.com/fighter-details/1c3f5e85b59ec710,1466.53,1524.09,6,ufc_fights
http://www.ufcstats.com/fighter-details/21b8a0f5c231096f,1539.41,1685.6,26,ufc_fights
http://www.ufcstats.com/fighter-details/baf942f4bcb09894,1443.35,1468.8,2,ufc_fights
http://www.ufcstats.com/fighter-details/0db70ca89e1c7374,1465.88,1465.88,1,ufc_fights
http://www.ufcstats.com/fighter-details/31bbd46d57dfbcb7,1467.93,1467.93,1,ufc_fights
http://www.ufcstats.com/fighter-details/0ec821423baa26bd,1466.37,1466.37,1,ufc_fights
http://www.ufcstats.com/fighter-details/d41937647eae9a34,1467.53,1467.53,1,ufc_fights
http://www.ufcstats.com/fighter-details/8377c5572cb356f3,1474.51,1474.51,1,ufc_fights
http://www.ufcstats.com/fighter-details/20ec0061400178ca,1482.54,1531.2,2,ufc_fights
http://www.ufcstats.com/fighter-details/b3bbe88fecd6a0d2,1468.8,1468.8,1,ufc_fights
http://www.ufcstats.com/fighter-details/1f5f75658551f2d3,1444.93,1470.02,2,ufc_fights
http://www.ufcstats.com/fighter-details/c6da1c24fe473418,1481.74,1481.74,1,ufc_fights
http://www.ufcstats.com/fighter-details/53e533db1b8e9712,1500.45,1500.45,2,ufc_fights
http://www.ufcstats.com/fighter-details/577ec7e108b94be3,1471.25,1471.25,1,ufc_fights
http://www.ufcstats.com/fighter-details/1a49e0670dfaca31,1471.92,1471.92,1,ufc_fights
http://www.ufcstats.com/fighter-details/6420efac0578988b,1439.37,1522.0,4,ufc_fights
http://www.ufcstats.com/fighter-details/da6dfd09cca1d705,1477.62,1497.48,4,ufc_fights
http://www.ufcstats.com/fighter-details/0ee783aa00e468f0,1610.38,1738.77,39,ufc_fights
http://www.ufcstats.com/fighter-details/3da19339ee7051d5,1530.0,1530.0,1,ufc_fights
http://www.ufcstats.com/fighter-details/abbc4fc02e0d84b3,1470.0,1470.0,1,ufc_fights
